Site,Parameter,Date (LST),Year,Month,Day,Hour,Value
Beijing,PM2.5,2011/1/8 5:00,2011,1,8,5,118
Beijing,PM2.5,2011/1/8 6:00,2011,1,8,6,79
Beijing,PM2.5,2011/1/8 7:00,2011,1,8,7,25
Beijing,PM2.5,2011/1/8 8:00,2011,1,8,8,19
Beijing,PM2.5,2011/1/8 9:00,2011,1,8,9,16
Beijing,PM2.5,2011/1/8 10:00,2011,1,8,10,21
Beijing,PM2.5,2011/1/8 11:00,2011,1,8,11,20
Beijing,PM2.5,2011/1/8 12:00,2011,1,8,12,23
Beijing,PM2.5,2011/1/8 13:00,2011,1,8,13,26
Beijing,PM2.5,2011/1/8 14:00,2011,1,8,14,17
Beijing,PM2.5,2011/1/10 15:00,2011,1,10,15,43
Beijing,PM2.5,2011/1/10 16:00,2011,1,10,16,50
Beijing,PM2.5,2011/1/10 17:00,2011,1,10,17,70
Beijing,PM2.5,2011/1/10 18:00,2011,1,10,18,69
Beijing,PM2.5,2011/1/10 19:00,2011,1,10,19,88
Beijing,PM2.5,2011/1/10 20:00,2011,1,10,20,106
Beijing,PM2.5,2011/1/10 21:00,2011,1,10,21,115
Beijing,PM2.5,2011/1/10 22:00,2011,1,10,22,100
Beijing,PM2.5,2011/1/10 23:00,2011,1,10,23,105
Beijing,PM2.5,2011/1/11 0:00,2011,1,11,0,76
Beijing,PM2.5,2011/1/11 1:00,2011,1,11,1,33
Beijing,PM2.5,2011/1/11 2:00,2011,1,11,2,29
Beijing,PM2.5,2011/1/11 3:00,2011,1,11,3,26
Beijing,PM2.5,2011/1/11 4:00,2011,1,11,4,19
Beijing,PM2.5,2011/1/11 5:00,2011,1,11,5,18
Beijing,PM2.5,2011/1/11 6:00,2011,1,11,6,13
Beijing,PM2.5,2011/1/11 7:00,2011,1,11,7,14
Beijing,PM2.5,2011/1/11 8:00,2011,1,11,8,15
Beijing,PM2.5,2011/1/11 9:00,2011,1,11,9,18
Beijing,PM2.5,2011/1/11 10:00,2011,1,11,10,21
Beijing,PM2.5,2011/1/11 11:00,2011,1,11,11,21
Beijing,PM2.5,2011/1/11 12:00,2011,1,11,12,16
Beijing,PM2.5,2011/1/11 13:00,2011,1,11,13,8
Beijing,PM2.5,2011/1/11 14:00,2011,1,11,14,18
Beijing,PM2.5,2011/1/11 15:00,2011,1,11,15,12
Beijing,PM2.5,2011/1/11 16:00,2011,1,11,16,13
Beijing,PM2.5,2011/1/11 17:00,2011,1,11,17,19
Beijing,PM2.5,2011/1/11 18:00,2011,1,11,18,21
Beijing,PM2.5,2011/1/11 19:00,2011,1,11,19,20
Beijing,PM2.5,2011/1/11 20:00,2011,1,11,20,22
Beijing,PM2.5,2011/1/11 21:00,2011,1,11,21,37
Beijing,PM2.5,2011/1/11 22:00,2011,1,11,22,54
Beijing,PM2.5,2011/1/11 23:00,2011,1,11,23,45
Beijing,PM2.5,2011/1/12 0:00,2011,1,12,0,24
Beijing,PM2.5,2011/1/12 1:00,2011,1,12,1,35
Beijing,PM2.5,2011/1/12 2:00,2011,1,12,2,30
Beijing,PM2.5,2011/1/12 3:00,2011,1,12,3,34
Beijing,PM2.5,2011/1/12 4:00,2011,1,12,4,37
Beijing,PM2.5,2011/1/12 5:00,2011,1,12,5,49
Beijing,PM2.5,2011/1/12 6:00,2011,1,12,6,62
Beijing,PM2.5,2011/1/12 7:00,2011,1,12,7,59
Beijing,PM2.5,2011/1/12 8:00,2011,1,12,8,74
